Date,Product_ID,Sales,Inventory_Required
2023-01-01,P101,124.0,144.0
2023-01-02,P101,119.0,144.0
2023-01-03,P101,126.0,134.0
2023-01-04,P101,133.0,151.0
2023-01-05,P101,120.0,131.0
2023-01-06,P101,120.0,132.0
2023-01-07,P101,135.0,147.0
2023-01-08,P101,129.0,139.0
2023-01-09,P101,119.0,134.0
2023-01-10,P101,128.0,138.0
2023-01-11,P101,120.0,136.0
2023-01-12,P101,120.0,135.0
2023-01-13,P101,126.0,140.0
2023-01-14,P101,109.0,120.0
2023-01-15,P101,111.0,123.0
2023-01-16,P101,121.0,140.0
2023-01-17,P101,118.0,135.0
2023-01-18,P101,129.0,139.0
2023-01-19,P101,119.0,135.0
2023-01-20,P101,116.0,134.0
2023-01-21,P101,139.0,146.0
2023-01-22,P101,126.0,143.0
2023-01-23,P101,128.0,140.0
2023-01-24,P101,117.0,135.0
2023-01-25,P101,124.0,135.0
2023-01-26,P101,130.0,136.0
2023-01-27,P101,120.0,127.0
2023-01-28,P101,133.0,148.0
2023-01-29,P101,125.0,142.0
2023-01-30,P101,128.0,139.0
2023-01-31,P101,126.0,144.0
2023-02-01,P101,146.0,153.0
2023-02-02,P101,131.0,146.0
2023-02-03,P101,123.0,132.0
2023-02-04,P101,139.0,151.0
2023-02-05,P101,123.0,138.0
2023-02-06,P101,135.0,145.0
2023-02-07,P101,118.0,131.0
2023-02-08,P101,123.0,143.0
2023-02-09,P101,136.0,148.0
2023-02-10,P101,140.0,160.0
2023-02-11,P101,136.0,146.0
2023-02-12,P101,134.0,152.0
2023-02-13,P101,133.0,155.0
2023-02-14,P101,124.0,127.0
2023-02-15,P101,130.0,141.0
2023-02-16,P101,133.0,151.0
2023-02-17,P101,145.0,159.0
2023-02-18,P101,140.0,157.0
2023-02-19,P101,124.0,136.0
2023-02-20,P101,141.0,156.0
2023-02-21,P101,135.0,150.0
2023-02-22,P101,133.0,154.0
2023-02-23,P101,144.0,160.0
2023-02-24,P101,148.0,164.0
2023-02-25,P101,147.0,160.0
2023-02-26,P101,133.0,146.0
